id,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
16,41,197,2315017,2315086.0,1499,137.5,131.5,155173,33.0,141.0,1402,False,True,40,0.0556,0.5908,0.8968,0.037849999999999995,0.2428,0.4189,0.0,4.0724,2.0785,2.1732,-0.1032,-0.0899,1.0,0,0,1,0,0,0,0
17,952,966,398837,398889.0,209,28.0,16.0,23782,118.0,150.0,1694,True,False,140,0.5089,0.3987,0.5294,0.0125,0.7727,0.5625,0.0,2.3201,1.2305,0.9542,-0.4706,0.0461,0.4729,0,0,0,0,0,0,1
18,833,842,2702154,2702164.0,67,10.0,10.0,7391,82.0,132.0,1362,False,True,40,0.7338,0.3,0.9,0.0066,0.9,1.0,1.0,1.8261,0.9542,1.0,0.1,-0.1807,0.1954,0,0,0,0,0,1,0
19,1123,1140,2258648,2258662.0,67,30.0,12.0,7286,127.0,141.0,1354,False,True,40,0.6166,0.5462,0.7333,0.0089,0.6333,0.9167,0.0,1.8261,1.1761,1.0414,-0.2667,0.0298,0.286,0,0,0,0,0,0,1
20,545,583,3980733,3980769.0,979,131.0,91.0,118187,107.0,132.0,1364,False,True,40,0.5196,0.4768,0.5786,0.037849999999999995,0.6389,0.5714,0.0,2.9908,1.6812,1.9085,-0.4214,-0.0968,1.0,0,0,0,0,0,1,0
21,907,914,249693,249742.0,145,21.0,26.0,18047,84.0,127.0,1387,False,True,40,0.8304,0.2597,0.3462,0.0071,0.6,1.0,1.0,2.1614,1.0792,1.415,0.6539,-0.1742,0.3882,0,0,0,0,0,0,1
22,936,944,4933878,4920024.5,162,16.0,20.0,18047,95.0,119.0,1690,False,True,70,0.7325,0.3726,0.7,0.0053,0.75,0.3,1.0,2.2095,0.9542,1.301,0.3,-0.1847,0.463,0,0,0,0,0,0,1
23,1230,1244,3020344,3020360.0,89,20.0,16.0,8586,97.0,125.0,1652,True,False,70,0.7599,0.4208,0.6429,0.0071,0.7083,0.9375,1.0,1.9494,1.0792,1.1461,0.3571,-0.154,0.2359,0,0,0,0,0,1,0
24,1538,1549,849219,849235.0,275,19.0,32.0,28986,71.0,117.0,1626,True,False,70,0.1494,0.399,0.375,0.0088,0.6316,1.0,1.0,2.4393,1.0792,1.5051,0.625,-0.2988,0.633,1,0,0,0,0,0,0
25,39,222,979651,979800.0,1499,137.5,131.5,155173,25.0,143.0,1398,False,True,40,0.0558,0.509,0.9143,0.037849999999999995,0.2403,0.3218,0.0,4.113150000000001,2.0785,2.2095,-0.0857,-0.0843,1.0,0,0,1,0,0,0,0
26,3,15,1130873,1130901.0,140,17.0,31.0,13829,77.0,111.0,1688,True,False,70,0.0024,0.3626,0.2973,0.0047,0.4706,1.0,1.0,2.1461,0.9031,1.4914,0.7027,-0.2317,0.3601,0,0,0,0,0,0,1
27,1164,1173,2070108,2070121.0,75,13.0,16.0,8292,99.0,125.0,1650,True,False,70,0.2439,0.2424,0.4375,0.0055,0.6923,1.0,1.0,1.8751,0.9542,1.2041,0.5625,-0.1243,0.2583,0,0,0,0,0,0,1
28,243,370,463001,462989.0,1499,137.5,124.0,155173,115.0,132.0,1360,False,True,40,0.2835,0.7061,0.6333,0.037849999999999995,0.3304,0.6719,1.0,3.2601,1.8751,1.8865,0.3667,-0.0572,1.0,0,0,1,0,0,0,0
29,41,192,1636571,1636729.0,1499,137.5,131.5,155173,33.0,141.0,1402,False,True,40,0.0585,0.4831,0.9639,0.037849999999999995,0.2422,0.3642,1.0,4.113150000000001,2.0785,2.2227,0.0361,-0.0935,1.0,0,0,1,0,0,0,0
30,374,381,1264388,1264403.0,313,43.0,34.0,40498,105.0,135.0,1354,True,False,70,0.5546,0.583,0.3543,0.0096,0.3913,0.9821,1.0,2.4955,1.1139,1.5682,0.6457,-0.0802,0.8299,0,0,0,0,0,0,1
31,1644,1661,2552670,2552812.0,762,102.0,131.5,63525,28.0,107.5,1692,True,False,70,0.0495,0.4194,0.0519,0.0095,0.0782,0.9916,1.0,2.8819,1.2041,2.1903,0.9481,-0.35525,0.9994,0,0,0,0,0,0,1
32,1223,1231,1859633,1859616.0,705,18.0,29.0,67978,93.0,127.0,1353,True,False,70,0.1279,0.4487,0.4091,0.0096,0.6154,0.931,1.0,2.8774,1.1139,1.4624,0.5909,-0.1608,0.9994,0,0,0,0,0,0,1
33,933,940,4933878,4920024.5,12,6.0,4.0,1504,110.0,134.0,1358,False,True,50,0.6471,0.55,1.0,0.0044,1.0,1.0,0.5,1.0792,0.7782,0.6021,0.0,-0.084,0.1361,0,0,0,1,0,0,0
34,1579,1600,1659737,1659760.0,613,42.0,35.0,71852,108.0,143.0,1698,False,True,90,0.1111,0.5469,0.6727,0.0237,0.5122,0.9714,0.0,2.8482,1.6021,1.5185,-0.3273,-0.0572,0.9987,0,0,0,0,0,0,1
35,1310,1316,435871,435916.0,153,16.0,32.0,17101,104.0,132.0,1352,False,True,40,0.0532,0.3854,0.3333,0.0044,0.375,0.9688,1.0,2.1847,0.7782,1.5051,0.6667,-0.0916,0.4025,1,0,0,0,0,0,0
36,1197,1201,4933878,4920024.5,308,50.0,30.0,34230,113.0,141.0,1353,False,True,40,0.2173,0.5,0.6667,0.0176,0.4,0.6,0.0,2.4885,1.3802,1.4771,-0.3333,-0.0263,0.8299,0,0,0,0,0,0,1
37,1324,1333,2378173,2378236.0,659,61.0,91.0,60260,89.0,140.0,1356,False,True,40,0.0862,0.4622,0.0962,0.0074,0.3111,0.8868,1.0,2.8048,1.0,1.9445,0.9039,-0.1849,0.99,0,0,1,0,0,0,0
38,1343,1351,3094414,3094424.0,74,16.0,12.0,8851,108.0,127.0,1687,True,False,70,0.4326,0.268,1.0,0.0071,0.75,1.0,0.5,1.8692,1.0792,1.0792,0.0,-0.0617,0.2583,0,0,0,0,0,0,1
39,41,210,2829521,2829590.0,1499,137.5,131.5,155173,43.0,125.0,1356,True,False,70,0.0605,0.4401,0.3954,0.037849999999999995,0.6693,0.5,0.0,3.7958,2.0785,1.8451,-0.6047,-0.1888,1.0,0,0,1,0,0,0,0
40,525,585,75115,75122.0,155,20.0,21.0,15572,97.0,119.0,1354,True,False,70,0.7778,0.2546,0.9375,0.011,0.75,1.0,1.0,2.1903,1.1761,1.3222,0.0625,-0.1485,0.3977,0,1,0,0,0,0,0
41,505,522,3787187,3787204.0,114,12.0,13.0,13135,109.0,132.0,1360,False,True,40,0.7426,0.3222,0.7647,0.0052,0.5833,1.0,1.0,2.0569,0.8451,1.1139,0.2353,-0.076,0.2739,0,0,0,0,0,1,0
42,13,21,936743,936828.0,184,20.0,22.0,19901,97.0,133.0,1687,False,True,140,0.0216,0.25,0.55,0.0053,0.45,1.0,1.0,2.2648,0.9542,1.301,0.45,-0.093,0.3663,0,0,0,0,0,0,1
43,757,766,458923,458941.0,207,47.0,29.0,22761,111.0,134.0,1356,False,True,40,0.8468,0.5322,0.3462,0.0096,0.3256,0.9565,1.0,2.316,1.1139,1.4624,0.6539,-0.0616,0.7079,0,0,0,0,0,0,1
44,10,22,3859251,3859266.0,147,20.0,26.0,16571,108.0,134.0,1352,False,True,40,0.0177,0.42,0.3333,0.0074,0.6,1.0,1.0,2.1673,1.0,1.3802,0.6667,-0.0851,0.3601,0,0,0,0,0,0,1
45,41,215,1221106,1221276.0,1499,137.5,131.5,155173,28.0,143.0,1402,False,True,40,0.0585,0.5019,0.8841,0.037849999999999995,0.2629,0.3857,0.0,4.113150000000001,2.0785,2.233,-0.1159,-0.0899,1.0,0,0,1,0,0,0,0
46,2,10,1225386,1225405.0,114,20.0,17.0,12284,87.0,124.0,1356,True,False,70,0.0188,0.4929,0.5,0.0059,0.4,0.9474,1.0,2.0569,0.9031,1.1761,0.5,-0.1876,0.2792,0,0,0,0,0,0,1
47,129,157,1377782,1377748.0,536,38.0,51.0,53480,84.0,118.0,1356,True,False,70,0.1792,0.4189,0.2759,0.014,0.2712,0.9216,1.0,2.749,1.2787,1.6721,0.7241,-0.2321,0.9491,0,0,0,0,0,0,1
48,1065,1084,1593115,1593120.0,133,33.0,31.0,16571,103.0,132.0,1360,False,True,140,0.4595,0.6414,0.5,0.0147,0.6452,0.5385,0.0,2.1239,1.301,1.2553,-0.5,-0.078,0.8299,0,1,0,0,0,0,0
49,1078,1098,1757997,1758011.0,133,25.0,15.0,14830,100.0,132.0,1368,True,False,80,0.4106,0.2051,0.7895,0.015,0.76,1.0,0.0,2.1239,1.2787,1.1461,-0.2105,-0.1098,0.374,0,0,0,0,0,1,0
50,867,878,3264755,3264786.0,167,18.0,27.0,19974,106.0,134.0,1362,False,True,40,0.7332,0.3416,0.3333,0.0059,0.4444,1.0,1.0,2.2227,0.9031,1.4314,0.6667,-0.079,0.4025,0,0,0,0,0,0,0
51,387,403,1215744,1215749.0,125,17.0,13.0,16692,70.0,127.0,1690,True,False,70,0.4564,0.5714,0.8571,0.0103,0.8235,0.9231,0.0,2.0969,1.1461,1.0792,-0.1429,-0.2015,0.2901,0,0,0,0,0,1,0
52,789,797,1002562,1002587.0,34,11.0,9.0,3553,123.0,141.0,1358,False,True,50,0.9377,0.2361,0.8889,0.0059,0.7273,1.0,0.0,1.5315,0.9031,0.9542,-0.1111,0.0043,0.1773,0,0,0,1,0,0,0
53,6,17,695618,695659.0,111,13.0,26.0,12587,93.0,143.0,1690,True,False,80,0.1227,0.3864,0.5454,0.0065,0.8461,1.0,1.0,2.0453,1.0414,1.415,0.4545,-0.0536,0.3882,0,0,0,0,0,0,1
54,462,472,1566617,1566638.0,264,25.0,30.0,30966,53.0,127.0,1690,True,False,70,0.6775,0.4889,0.4,0.0089,0.4615,1.0,1.0,2.4216,1.0792,1.4771,0.6,-0.1353,0.5951,0,0,0,0,0,0,1
55,1321,1332,168407,168485.0,414,57.0,56.0,41476,78.0,127.0,1362,False,True,40,0.0325,0.5577,0.1837,0.0088,0.2105,1.0,1.0,2.617,1.0792,1.7404,0.8163,-0.2043,0.9747,0,0,0,0,0,0,1
56,41,194,4373092,4373158.0,1499,137.5,108.0,155173,47.0,127.0,1402,False,True,40,0.0604,0.3431,0.3512,0.037849999999999995,0.8461,0.4746,0.0,3.756,2.0785,1.8129,-0.6489,-0.1708,1.0,0,0,1,0,0,0,0
57,1205,1216,393428,393468.0,53,15.0,14.0,5464,157.5,151.5,1354,True,False,70,0.1941,0.25,0.5714,0.0066,0.6667,1.0,1.0,1.7243,0.9542,1.1461,0.4286,0.07875,0.1852,0,0,0,0,0,0,1
58,39,210,1645544,1645548.0,1499,137.5,87.0,155173,91.0,127.0,1358,False,True,40,0.0575,0.4235,0.4193,0.037849999999999995,0.5484,0.5,0.0,3.7946,2.0785,1.8129,-0.5806,-0.1563,1.0,0,0,0,0,0,0,1
59,39,191,1700639,1700480.0,1499,137.5,131.5,155173,26.0,141.0,1400,False,True,40,0.0558,0.6021,0.9942,0.037849999999999995,0.2266,0.3511,0.0,4.0376,2.0785,2.2175,-0.0058,-0.097,1.0,0,0,1,0,0,0,0
60,765,774,4933878,4920024.5,59,9.0,12.0,6682,77.0,133.0,1360,False,True,100,0.3613,0.3571,0.28,0.0052,0.7778,1.0,1.0,1.7708,0.8451,1.0792,0.72,-0.1522,0.1892,1,0,0,0,0,0,0
61,1299,1306,1067022,1067027.0,57,13.0,14.0,6657,97.0,124.0,1353,False,True,70,0.1021,0.4086,0.4286,0.0052,0.5385,1.0,1.0,1.7559,0.8451,1.1461,0.5714,-0.1815,0.2195,0,0,0,0,0,0,1
62,501,522,751059,751132.0,200,31.0,25.0,22991,91.0,134.0,1356,True,False,80,0.2759,0.6111,0.4,0.0157,0.8061,0.5333,0.0,2.301,1.415,1.301,-0.6,-0.1461,0.8355,0,0,0,0,0,0,1
63,39,212,1445593,1445656.0,1499,137.5,131.5,155173,42.0,124.0,1356,False,True,40,0.0602,0.4563,0.3974,0.037849999999999995,0.6387,0.4545,0.0,3.8146,2.0785,1.7924,-0.6026,-0.1902,1.0,0,0,1,0,0,0,0
64,1277,1288,933641,933629.0,55,12.0,19.0,5577,89.0,124.0,1353,False,True,140,0.4586,0.24,0.5385,0.0081,0.9167,1.0,1.0,1.7404,1.0414,1.2787,0.4615,-0.2338,0.1965,0,0,0,0,0,1,0
65,39,216,1445593,1445656.0,1499,137.5,124.0,155173,36.0,124.0,1358,False,True,40,0.0574,0.5253,0.3846,0.037849999999999995,0.7172,0.5245,0.0,3.8049,2.0785,1.8389,-0.6154,-0.1865,1.0,0,0,1,0,0,0,0
66,41,182,2290146,2290212.0,1499,137.5,96.0,155173,65.0,127.0,1360,False,True,40,0.0604,0.3972,0.3837,0.037849999999999995,0.7472,0.4963,0.0,3.5884,2.0785,1.7993,-0.6163,-0.1883,1.0,0,0,1,0,0,0,0
67,1677,1686,1319063,1319076.0,91,10.0,15.0,5608,57.0,107.5,1692,True,False,70,0.0024,0.3583,0.6667,0.0047,0.8,1.0,1.0,1.959,0.9031,1.1761,0.3333,-0.35525,0.266,1,0,0,0,0,0,0
68,973,983,4933878,4920024.5,111,13.0,13.0,11890,82.0,118.0,1364,True,False,80,0.8331,0.3235,0.9167,0.0081,0.8461,0.9231,0.0,2.0453,1.0414,1.0792,-0.0833,-0.2455,0.2583,0,0,0,0,0,1,0
69,21,39,294032,294036.0,211,26.0,28.0,21326,92.0,118.0,1356,True,False,70,0.0222,0.3554,0.4286,0.0096,0.5385,1.0,1.0,2.3243,1.1139,1.4472,0.5714,-0.176,0.6514,0,1,0,0,0,0,0
70,1260,1271,971525,971551.0,194,28.0,28.0,21661,105.0,126.0,1358,False,True,40,0.1277,0.5255,0.3571,0.0088,0.4286,0.9643,1.0,2.2856,1.0792,1.4472,0.6429,-0.1285,0.6693,0,0,0,0,0,0,1
71,1563,1587,983776,983827.0,744,99.0,60.0,86830,77.0,111.0,1698,False,True,90,0.1237,0.4946,0.5714,0.0199,0.3636,0.8,1.0,2.8716,1.5185,1.7708,0.4286,-0.2362,0.9998,1,0,0,0,0,0,0
72,112,127,1090984,1091013.0,210,36.0,22.0,23155,97.0,134.0,1353,False,True,70,0.1779,0.4427,0.7619,0.0155,0.4533,0.8636,1.0,2.3222,1.3222,1.2787,0.2381,-0.0998,0.6868,0,0,0,0,0,0,1
73,325,361,1090984,1091013.0,219,37.0,29.0,25491,111.0,134.0,1373,False,True,40,0.4537,0.5876,0.6429,0.0148,0.5278,0.8261,1.0,2.3404,1.301,1.4314,0.3571,-0.0104,0.7933,0,0,0,0,0,0,0
74,41,191,1228221,1228359.0,1499,137.5,131.5,155173,33.0,141.0,1400,False,True,40,0.0586,0.5815,0.8409,0.037849999999999995,0.2459,0.4471,1.0,4.0366,2.0785,2.2304,0.1591,-0.1077,1.0,0,0,1,0,0,0,0
75,43,198,2627229,2627391.0,1499,137.5,106.0,155173,45.0,124.0,1358,False,True,40,0.0633,0.5849,0.6316,0.037849999999999995,0.7707,0.5391,0.0,3.7646,2.0785,1.7708,-0.3684,-0.1941,1.0,0,0,1,0,0,0,0
76,118,134,810184,810291.0,145,38.0,35.0,19189,102.0,141.0,1356,True,False,70,0.1856,0.4267,0.7143,0.0118,0.4211,0.9714,1.0,2.1614,1.2041,1.5315,0.2857,-0.0508,0.6268,0,1,0,0,0,0,0
77,1245,1254,2093622,2093633.0,93,15.0,11.0,10797,101.0,135.0,1362,True,False,70,0.5521,0.3636,0.9167,0.0088,0.8,1.0,0.0,1.9685,1.0792,1.0414,-0.0833,-0.0615,0.2432,0,0,0,0,0,1,0
78,498,509,1164921,1164931.0,112,20.0,28.0,12693,106.0,127.0,1354,True,False,40,0.6773,0.5625,0.25,0.0066,0.5,1.0,1.0,2.0492,0.9542,1.4472,0.75,-0.0881,0.3197,0,0,0,0,1,0,0
79,39,216,2598874,2598935.0,1499,137.5,131.5,155173,38.0,124.0,1358,False,True,40,0.0574,0.4403,0.3841,0.037849999999999995,0.673,0.4963,0.0,3.8301,2.0785,1.8261,-0.6159,-0.1867,1.0,0,0,1,0,0,0,0
80,1625,1634,1589161,1589168.0,59,16.0,12.0,4834,81.0,109.0,1692,True,False,70,0.0531,0.4267,0.8333,0.0059,0.625,1.0,1.0,1.7708,1.0,1.0792,0.1667,-0.2774,0.2288,0,0,0,0,0,1,0
81,1036,1051,818584,818589.0,114,15.0,15.0,11430,67.0,127.0,1690,True,False,70,0.4686,0.2083,0.5333,0.0083,0.7333,1.0,1.0,2.0569,1.1461,1.1761,0.4667,-0.1984,0.2288,0,0,0,0,0,1,0
82,974,980,972370,972388.0,652,56.0,52.0,66181,85.0,127.0,1360,False,True,40,0.8473,0.6414,0.2632,0.0277,0.7471,0.5652,0.0,2.8122,1.5185,1.6233,-0.7368,-0.1515,0.9985,0,0,1,0,0,0,0
83,119,127,1072387,1072413.0,68,29.0,19.0,8586,118.0,135.0,1358,True,False,70,0.2485,0.4815,0.6667,0.0131,0.6207,0.9474,0.0,1.8325,1.2553,1.2553,-0.3333,-0.0021,0.215,0,1,0,0,0,0,0
84,1202,1216,4933878,4920024.5,124,18.0,15.0,15572,84.0,116.0,1632,True,False,100,0.0619,0.3667,0.9333,0.0096,0.7222,1.0,1.0,2.0934,1.1139,1.1761,0.0667,-0.2279,0.3509,0,0,0,0,0,1,0
85,39,214,1800044,1800071.0,1499,137.5,131.5,155173,41.0,119.0,1356,False,True,40,0.0574,0.4129,0.3943,0.037849999999999995,0.5273,0.5714,0.0,3.8006,2.0785,1.8195,-0.6057,-0.1919,1.0,0,0,1,0,0,0,0
86,5,13,639361,639376.0,105,21.0,13.0,10685,90.0,111.0,1358,True,False,70,0.0205,0.3566,0.6923,0.0053,0.4286,1.0,1.0,2.0212,0.9542,1.1139,0.3077,-0.2268,0.2253,0,1,0,0,0,0,0
87,489,494,1123524,1123540.0,135,17.0,11.0,12235,80.0,132.0,1686,True,False,60,0.4846,0.3167,0.8571,0.0066,0.8235,1.0,0.0,2.1303,1.0414,1.0414,-0.1429,-0.1353,0.2901,0,0,0,0,0,0,1
88,1068,1085,1142404,1142410.0,66,25.0,12.0,5695,86.0,125.0,1366,True,False,70,0.4144,0.2857,0.9091,0.0199,1.0,0.9167,0.0,1.8451,1.4314,1.0414,-0.0909,-0.2323,0.2532,0,0,0,0,0,0,1
89,1427,1455,1095698,1095703.0,18,14.0,5.0,2274,117.0,141.0,1652,True,False,50,0.2312,0.4667,0.8333,0.0073,0.8571,0.8,0.0,1.2553,1.0792,0.699,-0.1667,-0.0071,0.1449,0,0,0,0,1,0,0
90,951,95,71777,71788.0,67,18.0,7.0,8685,144.0,151.5,1692,True,False,140,0.9269,0.4182,0.6818,0.0109,0.9444,0.8571,0.0,1.8415,1.2553,0.699,-0.3182,0.0011,0.215,0,0,0,0,0,0,1
91,791,833,71768,71798.0,81,26.0,6.0,9778,93.0,129.0,1692,True,False,140,0.972,0.5702,0.4348,0.0136,0.9583,0.8333,0.0,1.9085,1.3617,1.0,-0.5652,-0.1212,0.3819,0,0,0,0,0,1,0
92,476,490,775041,775118.0,313,53.0,37.0,29386,76.0,117.0,1362,False,True,40,0.0354,0.3542,0.2045,0.0103,0.2571,1.0,1.0,2.4955,1.1461,1.5682,0.7954,-0.2988,0.8705,0,0,0,0,0,0,1
93,1162,1174,745366,745380.0,353,48.0,46.0,37930,87.0,127.0,1352,False,True,40,0.2227,0.2955,0.3,0.0081,0.2381,1.0,1.0,2.5478,1.0414,1.6628,0.7,-0.1628,0.8612,0,0,0,0,0,0,0
94,39,181,203975,203987.0,150,137.5,41.0,16920,41.0,126.0,1356,False,True,40,0.0544,0.4556,0.3438,0.037849999999999995,0.8298,0.5191,0.0,2.1761,2.0785,1.4314,-0.6563,-0.1861,1.0,0,0,1,0,0,0,0
95,581,590,1084192,1084238.0,101,21.0,27.0,11608,109.0,143.0,1364,False,True,140,0.8203,0.4211,0.2857,0.0066,0.381,0.6154,1.0,2.0043,0.9542,1.4472,0.7143,0.0257,0.3097,0,0,0,0,0,0,1
96,1625,1628,1758011,1757997.0,54,10.0,14.0,6167,98.0,111.0,1354,True,False,70,0.0325,0.449,0.5,0.0052,0.5,1.0,1.0,1.7324,0.8451,1.1461,0.5,-0.1929,0.204,0,0,0,0,0,0,0
97,1160,1171,1789332,1789337.0,110,12.0,12.0,11425,73.0,126.0,1354,False,True,40,0.3348,0.2857,0.9167,0.0088,1.0,1.0,0.0,2.0414,1.0792,1.0792,-0.0833,-0.2051,0.2432,0,0,0,0,0,1,0
98,39,216,1473977,1474044.0,1499,137.5,131.5,155173,36.0,124.0,1358,False,True,40,0.0574,0.4417,0.3785,0.037849999999999995,0.673,0.5285,0.0,3.8461,2.0785,1.8261,-0.6215,-0.1942,1.0,0,0,1,0,0,0,0
99,1582,1594,2887095,2887114.0,101,17.0,29.0,13987,110.0,127.0,1358,False,True,40,0.4569,0.5457,0.7059,0.0111,0.8421,1.0,1.0,2.0043,1.1761,1.4624,0.2941,-0.0731,0.3494,0,0,0,0,0,1,0
100,763,772,657468,657502.0,59,10.0,7.0,6682,108.0,141.0,1690,True,False,140,0.8147,0.175,0.8,0.006,0.8,1.0,0.0,1.7708,1.0,0.8451,-0.2,-0.0722,0.1892,0,0,0,0,0,0,1
101,1034,1055,1725137,1725163.0,204,31.0,25.0,21661,68.0,124.0,1364,False,True,40,0.3632,0.6357,0.7,0.0147,0.6809,0.7,0.0,2.3096,1.301,1.301,-0.3,-0.2153,0.7147,0,0,0,0,0,0,1
102,1109,1134,61803,61826.0,211,38.0,27.0,20570,74.0,124.0,1353,False,True,50,0.3573,0.4024,0.9643,0.0236,0.6274,0.8148,1.0,2.3243,1.5051,1.4314,0.0357,-0.2465,0.8299,0,0,0,0,0,0,1
103,834,884,273908,273912.0,35,22.0,6.0,4606,109.0,148.0,1650,True,False,70,0.8395,0.452,0.1364,0.0139,1.0,0.8333,0.0,1.5441,1.3617,0.699,-0.8636,-0.0341,0.1706,0,0,0,0,0,0,0
104,1376,1388,2396372,2396392.0,110,13.0,20.0,11126,81.0,116.0,1630,True,False,100,0.0459,0.3125,0.4,0.0059,0.6154,0.9,1.0,2.0414,0.9031,1.301,0.6,-0.1755,0.2792,0,0,0,0,0,0,1
105,1539,1562,4933878,4920024.5,101,14.0,17.0,13355,78.0,125.0,1650,True,False,70,0.1165,0.2739,0.7059,0.0103,0.8571,1.0,1.0,2.0043,1.2305,1.2305,0.2941,-0.2465,0.3419,0,0,0,0,0,0,1
106,1374,1382,435871,435916.0,85,15.0,13.0,8457,80.0,118.0,1692,True,False,140,0.5089,0.3278,0.9231,0.0077,0.8667,1.0,1.0,1.9294,1.1139,1.1139,0.0769,-0.2035,0.215,0,0,0,0,0,0,1
